aX,aY,aZ,gX,gY,gZ
0.108,0.701,0.688,-8.850,11.780,-6.958
0.115,0.695,0.690,-6.104,15.320,-8.728
0.089,0.686,0.650,-1.465,18.982,-11.719
0.079,0.690,0.610,3.601,19.958,-15.137
0.087,0.697,0.581,7.019,18.250,-17.273
0.067,0.693,0.544,6.165,17.822,-17.944
0.051,0.711,0.528,1.770,18.005,-16.541
0.037,0.723,0.550,-3.052,15.503,-14.343
0.011,0.735,0.568,-5.066,9.705,-10.254
0.052,0.712,0.582,-4.272,4.761,-5.249
0.081,0.697,0.582,-0.610,2.869,-2.136
0.092,0.688,0.591,-0.549,3.296,-2.075
0.104,0.679,0.591,0.854,3.113,-1.831
0.101,0.673,0.595,2.441,3.052,-0.427
0.095,0.676,0.603,3.784,4.639,0.488
0.084,0.687,0.592,5.066,6.653,1.404
0.084,0.694,0.568,5.310,8.362,2.197
0.096,0.723,0.580,3.540,9.399,2.686
0.094,0.728,0.585,3.784,11.597,2.991
0.108,0.742,0.556,5.859,12.634,3.784
0.102,0.720,0.547,6.104,8.484,3.479

0.757,1.008,1.032,9.155,-8.789,36.255
0.743,1.119,1.028,10.071,-13.611,32.837
0.729,1.164,1.029,1.892,-20.142,39.917
0.770,1.167,0.990,-15.564,-16.602,57.373
0.804,1.163,1.047,-48.706,-1.404,78.979
0.809,1.151,1.175,-83.252,14.160,96.008
0.788,1.131,1.287,-97.534,25.208,101.807
0.769,1.155,1.361,-82.092,23.865,92.896
0.675,1.260,1.409,-44.617,7.996,68.604
0.592,1.385,1.459,-0.793,-11.353,37.048
0.519,1.463,1.484,39.185,-23.071,9.277
0.390,1.477,1.478,60.303,-19.958,-11.475
0.225,1.433,1.462,59.631,-7.568,-24.231
0.025,1.386,1.427,42.358,8.789,-31.494
-0.213,1.324,1.372,19.592,25.879,-37.720
-0.466,1.232,1.233,1.160,38.147,-43.335
-0.621,1.131,1.108,-8.118,44.617,-48.157
-0.786,1.029,1.005,-16.357,48.889,-53.101
-0.939,0.941,0.915,-21.912,51.025,-59.814
-1.095,0.876,0.846,-21.545,47.852,-68.420
-1.222,0.813,0.787,-17.822,39.978,-77.454
-1.276,0.761,0.765,-14.282,31.189,-83.862
-1.302,0.706,0.732,-12.512,27.222,-85.449
-1.316,0.651,0.702,-14.099,27.832,-84.229
-1.284,0.573,0.673,-15.808,28.748,-82.642
-1.223,0.486,0.641,-16.296,30.945,-82.825
-1.172,0.397,0.553,-13.611,34.302,-82.825
-1.128,0.323,0.444,-7.080,37.598,-81.787
-1.083,0.261,0.307,-0.732,40.894,-79.285
-1.069,0.239,0.174,3.662,43.579,-74.524
-1.039,0.258,0.125,0.916,42.603,-67.566
-0.974,0.287,0.144,-8.545,39.917,-58.289
-0.907,0.328,0.182,-20.508,41.321,-47.546
-0.829,0.349,0.210,-29.236,44.861,-39.124
-0.759,0.379,0.278,-32.776,41.809,-34.363
-0.663,0.397,0.339,-27.893,35.461,-34.058
-0.591,0.402,0.329,-15.381,33.142,-36.438
-0.577,0.411,0.288,-1.465,31.677,-39.612
-0.569,0.404,0.256,10.071,26.367,-41.870
-0.565,0.375,0.241,17.944,20.691,-41.321
-0.538,0.368,0.267,16.296,17.639,-36.377
-0.510,0.355,0.287,8.911,18.127,-27.161
-0.463,0.366,0.291,2.319,21.362,-17.639
-0.413,0.367,0.301,-1.038,22.461,-10.620
-0.359,0.384,0.322,-1.282,20.447,-6.714
-0.338,0.410,0.344,2.441,15.808,-7.141
-0.311,0.451,0.352,9.827,12.207,-9.277
-0.286,0.485,0.346,17.639,10.193,-10.986
-0.254,0.505,0.352,21.667,8.789,-10.498
-0.234,0.526,0.372,17.700,8.118,-8.545
-0.243,0.548,0.402,9.583,8.728,-5.371
-0.231,0.537,0.426,1.526,7.874,-3.784
-0.209,0.521,0.460,-3.357,5.493,-1.770
-0.183,0.521,0.497,-5.493,5.127,0.732
-0.176,0.514,0.496,-4.211,7.202,2.563
-0.169,0.534,0.497,-2.563,7.751,3.906
-0.175,0.566,0.497,-0.854,5.676,3.906
-0.170,0.606,0.504,0.732,3.479,4.639
-0.135,0.640,0.521,1.465,2.808,5.920
